epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2477,3.70536,4.03672,3.34485,0.48626,0.03747,0.02955,0.01015,3.00732,2.84317,2.62715,0.0700915,0.00332317,0.00332317
2,181.249,2.43797,2.21936,2.04944,0.61544,0.11928,0.12674,0.05871,2.08499,1.92172,1.83666,0.0400695,0.00663454,0.00663454
3,269.645,2.10445,1.86477,1.76968,0.404,0.17274,0.14952,0.07346,1.83632,2.03338,1.65043,0.0100255,0.0099239,0.0099239
4,357.828,1.87116,1.60478,1.58707,0.3838,0.22507,0.20483,0.10907,1.65307,1.49688,1.48444,0.009901,0.009901,0.009901
5,446.011,1.71833,1.41373,1.47485,0.50027,0.29152,0.30499,0.16762,1.51225,1.27299,1.3863,0.009868,0.009868,0.009868
6,533.984,1.6278,1.29864,1.41171,0.51535,0.34568,0.34841,0.19477,1.45115,1.16263,1.3404,0.009835,0.009835,0.009835
7,622.163,1.56383,1.2201,1.37087,0.57735,0.37429,0.39593,0.22452,1.38187,1.07392,1.29815,0.009802,0.009802,0.009802
8,710.074,1.50658,1.16235,1.33819,0.62124,0.35217,0.40352,0.23338,1.36656,1.04598,1.28083,0.009769,0.009769,0.009769
9,797.626,1.46276,1.10896,1.31029,0.48341,0.39392,0.4261,0.24722,1.32793,1.0108,1.25561,0.009736,0.009736,0.009736
10,885.949,1.42709,1.06485,1.28568,0.63277,0.38602,0.45644,0.26711,1.31151,0.98345,1.24657,0.009703,0.009703,0.009703
11,973.898,1.40424,1.0333,1.26796,0.56247,0.45682,0.48859,0.28785,1.2652,0.92503,1.21838,0.00967,0.00967,0.00967
12,1061.89,1.38547,1.01661,1.25966,0.68382,0.44789,0.50972,0.30878,1.23327,0.89266,1.19836,0.009637,0.009637,0.009637
13,1149.47,1.36004,0.98652,1.23979,0.5923,0.48408,0.52893,0.32047,1.22027,0.87884,1.19825,0.009604,0.009604,0.009604
14,1237.54,1.33924,0.96252,1.22768,0.66328,0.47071,0.53485,0.32693,1.21191,0.86387,1.19167,0.009571,0.009571,0.009571
15,1324.97,1.32499,0.94289,1.22227,0.5818,0.50456,0.53921,0.32248,1.22607,0.86742,1.19796,0.009538,0.009538,0.009538
16,1412.24,1.31401,0.93082,1.2141,0.63745,0.45617,0.51842,0.31163,1.2354,0.89269,1.20453,0.009505,0.009505,0.009505
17,1499.36,1.29322,0.90961,1.20164,0.61691,0.5469,0.59583,0.37058,1.1718,0.82448,1.15855,0.009472,0.009472,0.009472
